id,cluster,entropy,turbulence,transitions
141,type 1,0.162488237864537,3,2
142,type 1,0.162488237864537,3,2
143,type 3,0.339855679587503,4.30021195470333,3
144,type 1,0.162488237864537,3,2
145,type 1,0.261001822254378,3.33006430996604,2
146,type 4,0.32365681966673,3.97819562968165,1
147,type 2,0.489585053158471,5.19627958101732,3
148,type 1,0.21695679408822,3.16220118545164,2
149,type 3,0.261001822254378,3.33006430996604,2
150,type 1,0.0815649357620124,2,1
151,type 3,0.329572509844673,3.68102522250199,2
152,type 4,0.181432261960644,2.44214272944144,1
153,type 1,0.162488237864537,3,2
154,type 1,0.21695679408822,3.16220118545164,2
155,type 1,0.219155792935046,2.69131448189349,1
156,type 1,0.21695679408822,3.16220118545164,2
157,type 1,0.136698050715568,2.21266088331867,1
158,type 1,0.0815649357620124,2,1
159,type 3,0.350328974383813,3.70968898075413,2
160,type 4,0,1,0
161,type 1,0.0815649357620124,2,1
162,type 1,0.136698050715568,2.21266088331867,1
163,type 1,0.21695679408822,3.16220118545164,2
164,type 1,0.270736167232985,3.33750089880782,2
165,type 1,0.0815649357620124,2,1
166,type 1,0.0815649357620124,2,1
167,type 1,0.136698050715568,2.21266088331867,1
168,type 1,0.0815649357620124,2,1
169,type 3,0.379731334537302,4.04494740605398,2
170,type 1,0.21695679408822,3.16220118545164,2
171,type 1,0.162488237864537,3,2
172,type 1,0.350328974383813,3.70968898075413,2
173,type 1,0.136698050715568,2.21266088331867,1
174,type 1,0.21695679408822,3.16220118545164,2
175,type 1,0.261001822254378,3.33006430996604,2
176,type 1,0.296526354381955,4.14855654050828,3
177,type 2,0.520937054854909,5.45795722398584,2
178,type 3,0.530742908708721,5.20927692154619,3
179,type 1,0.426817568262608,4.15890359535106,2
180,type 1,0.21695679408822,3.16220118545164,2
181,type 3,0.261001822254378,3.33006430996604,2
182,type 2,0.563476167149272,6.05104760559039,2
183,type 2,0,1,0
184,type 2,0.49776067080114,5.58536588253306,3
185,type 1,0.181432261960644,2.44214272944144,1
186,type 1,0.21695679408822,3.16220118545164,2
187,type 1,0.0815649357620124,2,1
188,type 3,0.392175003703145,4.46970247487723,3
189,type 1,0.0815649357620124,2,1
190,type 1,0.251462998580061,2.96384033670458,1
191,type 2,0.512524277171969,5.27547917220044,2
192,type 1,0.0815649357620124,2,1
193,type 1,0.136698050715568,2.21266088331867,1
194,type 2,0.659811220171447,7.92481250360578,5
195,type 4,0.181432261960644,2.44214272944144,1
196,type 1,0.0815649357620124,2,1
197,type 4,0.0815649357620124,2,1
198,type 1,0.0815649357620124,2,1
199,type 1,0.162488237864537,3,2
200,type 1,0.21695679408822,3.16220118545164,2
201,type 3,0.433984604744146,4.64403265543954,3
202,type 1,0.392138575424814,3.92806610575836,2
203,type 1,0.356614043297238,3.86222829239561,2
204,type 1,0.136698050715568,2.21266088331867,1
205,type 1,0.136698050715568,2.21266088331867,1
206,type 1,0.136698050715568,2.21266088331867,1
207,type 1,0.21695679408822,3.16220118545164,2
208,type 3,0.392175003703145,4.46970247487723,3
209,type 2,0.385611641059996,8.62205181945638,1
210,type 1,0.0815649357620124,2,1
211,type 1,0.0815649357620124,2,1
212,type 1,0.136698050715568,2.21266088331867,1
213,type 1,0.162488237864537,3,2
214,type 1,0.0815649357620124,2,1
215,type 1,0.162488237864537,3,2
216,type 4,0.0815649357620124,2,1
217,type 2,0.32365681966673,3.97819562968165,1
218,type 1,0.136698050715568,2.21266088331867,1
219,type 1,0.0815649357620124,2,1
220,type 3,0.261001822254378,3.33006430996604,2
221,type 1,0.136698050715568,2.21266088331867,1
222,type 4,0.381877019143138,7.30012372456901,1
223,type 1,0.0815649357620124,2,1
224,type 1,0.0815649357620124,2,1
